Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Number of oviposition sites,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Strength of territoriality (strong vs weak),Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition substrate,Habitat breadth,Agonistic display,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Male wing pigment,Female wing pigment,Sexual wing dichromatism,Male or female biased sexual wing dichromatism,Male dark score,Female dark score,Mean annual temperature,Female has wing pigment (waller 2019),Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source males,Original source females,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Hetaerina americana,Hetaerina_americana,Hetaerina_americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003; Paulson, 2009","Paulson, 2009",,,,,,,,,
Hetaerina aurora,Hetaerina_aurora,Hetaerina_aurora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina brightwelli,Hetaerina_brightwelli,Hetaerina_brightwelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina caja,Hetaerina_caja,Hetaerina_caja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003; Africa Dragonfly, 2011",,,,,,,,,,
Hetaerina capitalis,Hetaerina_capitalis,Hetaerina_capitalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina charca,Hetaerina_charca,Hetaerina_charca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina cruentata,Hetaerina_cruentata,Hetaerina_cruentata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Africa Dragonfly, 2011",,,,,,,,,,
Hetaerina curvicauda,Hetaerina_curvicauda,Hetaerina_curvicauda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina duplex,Hetaerina_duplex,Hetaerina_duplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina erythrokalamus,Hetaerina_erythrokalamus,Hetaerina_erythrokalamus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina flavipennis,Hetaerina_flavipennis,Hetaerina_flavipennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina fuscoguttata,Hetaerina_fuscoguttata,Hetaerina_fuscoguttata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003; Africa Dragonfly, 2011",,,,,,,,,,
Hetaerina gallardi,Hetaerina_gallardi,Hetaerina_gallardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina hebe,Hetaerina_hebe,Hetaerina_hebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina indeprensa,Hetaerina_indeprensa,Hetaerina_indeprensa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina infecta,Hetaerina_infecta,Hetaerina_infecta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina laesa,Hetaerina_laesa,Hetaerina_laesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina longipes,Hetaerina_longipes,Hetaerina_longipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina majuscula,Hetaerina_majuscula,Hetaerina_majuscula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Heckman, 2003",,,,,,,,,,
Hetaerina medinai,Hetaerina_medinai,Hetaerina_medinai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003","Heckman, 2003",,,,,,,,,
Hetaerina miniata,Hetaerina_miniata,Hetaerina_miniata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina moribunda,Hetaerina_moribunda,Hetaerina_moribunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina mortua,Hetaerina_mortua,Hetaerina_mortua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina occisa,Hetaerina_occisa,Hetaerina_occisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003; Africa Dragonfly, 2011",,,,,,,,,,
Hetaerina pilula,Hetaerina_pilula,Hetaerina_pilula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina proxima,Hetaerina_proxima,Hetaerina_proxima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina sanguinea,Hetaerina_sanguinea,Hetaerina_sanguinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina rosea,Hetaerina_rosea,Hetaerina_rosea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina rudis,Hetaerina_rudis,Hetaerina_rudis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina sempronia,Hetaerina_sempronia,Hetaerina_sempronia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"De Sélys-Longchamps and Hagen 1853; Heckman, 2003",,,,,,,,,,
Hetaerina simplex,Hetaerina_simplex,Hetaerina_simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina vulnerata,Hetaerina_vulnerata,Hetaerina_vulnerata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Hetaerina westfalli,Hetaerina_westfalli,Hetaerina_westfalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003",,,,,,,,,,
Iridictyon myersi,Iridictyon_myersi,Iridictyon_myersi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006","Hämäläinen and Pinratana, 1999",,,,,,,,,
Iridictyon trebbaui,Iridictyon_trebbaui,Iridictyon_trebbaui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Heckman, 2003; Garrison, 2006",,,,,,,,,,
Matrona basilaris,Matrona_basilaris,Matrona_basilaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hämäläinen and Pinratana, 1999; Asia Dragonfly 2011","Hämäläinen and Pinratana, 1999",,,,,,,,,
Matrona cyanoptera,Matrona_cyanoptera,Matrona_cyanoptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,Asia Dragonfly 2011,Asia Dragonfly 2011,,,,,,,,,
Matrona nigripectus,Matrona_nigripectus,Matrona_nigripectus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,Asia Dragonfly 2011,Asia Dragonfly 2011,,,,,,,,,
Matronoides cyaneipennis,Matronoides_cyaneipennis,Matronoides_cyaneipennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,Asia Dragonfly 2011,Asia Dragonfly 2011,,,,,,,,,
Mnais andersoni,Mnais_andersoni,Mnais_andersoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Morton, 1924; Hämäläinen and Pinratana, 1999; Asia Dragonfly 2011","Hämäläinen and Pinratana, 1999",,,,,,,,,
Mnais costalis,Mnais_costalis,Mnais_costalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hooper et al., 1999","Tsubaki et al., 2010",,,,,,,,,
Mnais gregoryi,Mnais_gregoryi,Mnais_gregoryi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Morton, 1924; Hooper et al., 1999",,,,,,,,,,
Mnais icteroptera,Mnais_icteroptera,Mnais_icteroptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hooper et al., 1999",,,,,,,,,,
Mnais incolor,Mnais_incolor,Mnais_incolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hooper et al., 1999",,,,,,,,,,
Mnais maclachlani,Mnais_maclachlani,Mnais_maclachlani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hooper et al., 1999",,,,,,,,,,
Mnais mneme,Mnais_mneme,Mnais_mneme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hooper et al., 1999; Asia Dragonfly 2011","Hooper et al., 1999; Asia Dragonfly 2011",,,,,,,,,
Mnais pruinosa,Mnais_pruinosa,Mnais_pruinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Watanabe and Taguchi, 1990","Watanabe and Taguchi, 1990",,,,,,,,,
Mnais tenuis,Mnais_tenuis,Mnais_tenuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hooper et al., 1999; Asia Dragonfly 2011","Hooper et al., 1999; Asia Dragonfly 2011",,,,,,,,,
Mnais yunosukei,Mnais_yunosukei,Mnais_yunosukei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hooper et al., 1999",,,,,,,,,,
Mnesarete aenea,Mnesarete_aenea,Mnesarete_aenea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete astrape,Mnesarete_astrape,Mnesarete_astrape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete borchgravii,Mnesarete_borchgravii,Mnesarete_borchgravii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete cupraea,Mnesarete_cupraea,Mnesarete_cupraea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete devillei,Mnesarete_devillei,Mnesarete_devillei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete drepane,Mnesarete_drepane,Mnesarete_drepane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete ephippium,Mnesarete_ephippium,Mnesarete_ephippium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete fulgida,Mnesarete_fulgida,Mnesarete_fulgida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete fuscibasis,Mnesarete_fuscibasis,Mnesarete_fuscibasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete grisea,Mnesarete_grisea,Mnesarete_grisea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete guttifera,Mnesarete_guttifera,Mnesarete_guttifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete hauxwelli,Mnesarete_hauxwelli,Mnesarete_hauxwelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete hyalina,Mnesarete_hyalina,Mnesarete_hyalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete lencionii,Mnesarete_lencionii,Mnesarete_lencionii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete loutoni,Mnesarete_loutoni,Mnesarete_loutoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete machadoi,Mnesarete_machadoi,Mnesarete_machadoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete mariana,Mnesarete_mariana,Mnesarete_mariana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete marginata,Mnesarete_marginata,Mnesarete_marginata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete metallica,Mnesarete_metallica,Mnesarete_metallica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete pruinosa,Mnesarete_pruinosa,Mnesarete_pruinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete pudica,Mnesarete_pudica,Mnesarete_pudica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete rhopalon,Mnesarete_rhopalon,Mnesarete_rhopalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete smaragdina,Mnesarete_smaragdina,Mnesarete_smaragdina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Mnesarete williamsoni,Mnesarete_williamsoni,Mnesarete_williamsoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Garrison, 2006",,,,,,,,,,
Neurobasis anumariae,Neurobasis_anumariae,Neurobasis_anumariae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Gunther, 2006",,,,,,,,,,
Neurobasis australis,Neurobasis_australis,Neurobasis_australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Gunther, 2006; Theischinger and Hawking, 2006",,,,,,,,,,
Neurobasis awamena,Neurobasis_awamena,Neurobasis_awamena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Gunther, 2006",,,,,,,,,,
Neurobasis chinensis,Neurobasis_chinensis,Neurobasis_chinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Male,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Hämäläinen and Pinratana, 1999; Gunther, 2006; Asia Dragonfly, 2011","Hämäläinen and Pinratana, 1999; Asia Dragonfly, 2011",,,,,,,,,
Neurobasis daviesi,Neurobasis_daviesi,Neurobasis_daviesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Gunther, 2006",,,,,,,,,,
Neurobasis florida,Neurobasis_florida,Neurobasis_florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Gunther, 2006",,,,,,,,,,
Neurobasis ianthinipennis,Neurobasis_ianthinipennis,Neurobasis_ianthinipennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Gunther, 2006",,,,,,,,,,
Neurobasis kaupi,Neurobasis_kaupi,Neurobasis_kaupi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Na,Na,,,,,,,,,,,,"(Svensson & Waller, 2013)",,,,,"Gunther, 2006",,,,,,,,,,
