Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Tramea basilaris,Tramea_basilaris,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tramea calverti,Tramea_calverti,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tramea lacerata,Tramea_lacerata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tramea loewii,Tramea_loewii,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tramea transmarina,Tramea_transmarina,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Tramea virginia,Tramea_virginia,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trigomphus citimus,Trigomphus_citimus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trigomphus interruptus,Trigomphus_interruptus,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trigomphus melampus,Trigomphus_melampus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trigomphus nigripes,Trigomphus_nigripes,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trigomphus ogumai,Trigomphus_ogumai,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis aconita,Trithemis_aconita,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis adelpha,Trithemis_adelpha,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis aequalis,Trithemis_aequalis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis africana,Trithemis_africana,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis annulata,Trithemis_annulata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis arteriosa,Trithemis_arteriosa,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis aurora,Trithemis_aurora,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis basitincta,Trithemis_basitincta,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis bifida,Trithemis_bifida,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis bredoi,Trithemis_bredoi,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis dejouxi,Trithemis_dejouxi,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis dichroa,Trithemis_dichroa,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis donaldsoni,Trithemis_donaldsoni,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis dorsalis,Trithemis_dorsalis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis ellenbeckii,Trithemis_ellenbeckii,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis festiva,Trithemis_festiva,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis furva,Trithemis_furva,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis grouti,Trithemis_grouti,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis hartwigi,Trithemis_hartwigi,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis hecate,Trithemis_hecate,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis imitata,Trithemis_imitata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis kalula,Trithemis_kalula,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis monardi,Trithemis_monardi,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis morrisoni,Trithemis_morrisoni,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis palustris,Trithemis_palustris,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis persephone,Trithemis_persephone,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis pluvialis,Trithemis_pluvialis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis pruinata,Trithemis_pruinata,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis selika,Trithemis_selika,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithemis stictica,Trithemis_stictica,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Trithetrum navasi,Trithetrum_navasi,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Ucaris imbuta,Ucaris_imbuta,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Uracis fastigiata,Uracis_fastigiata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Uracis infumata,Uracis_infumata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Uropetala carovei,Uropetala_carovei,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Urothemis assignata,Urothemis_assignata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Urothemis signata,Urothemis_signata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Zenithoptera fasciata,Zenithoptera_fasciata,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Zoraena bilineata,Zoraena_bilineata,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Zygonyx iris,Zygonyx_iris,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Zygonyx natalensis,Zygonyx_natalensis,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Zygonyx torridus,Zygonyx_torridus,,,,,,,,,,,Lotic,,,,"(Padilla-Morales et al., 2022)",,,,
Zyxomma elgneri,Zyxomma_elgneri,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Zyxomma obtusum,Zyxomma_obtusum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Zyxomma petiolatum,Zyxomma_petiolatum,,,,,,,,,,,Lentic,,,,"(Padilla-Morales et al., 2022)",,,,
Calopteryx aequabilis,Calopteryx_aequabilis,Yes,,Percher,,,,,,,,,Yes,,,"(Jones et al., 2013)",,,,
Calopteryx maculata,Calopteryx_maculata,Yes,,Percher,,,,,,,,,Yes,,,"(Jones et al., 2013)",,,,
Lestes congener,Lestes_congener,,Endophytic ,,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Lestes eurinus,Lestes_eurinus,,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Enallagma exsulans,Enallagma_exsulans,,,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Enallagma vesperum,Enallagma_vesperum,,,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Anax junius,Anax_junius,,Endophytic,Percher,,,Tandem,,,,,,,,,"(Jones et al., 2013)",,,,
Nasiaeschna pentacantha,Nasiaeschna_pentacantha,Yes,,Flier,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Aeshna sitchensis,Aeshna_sitchensis,,Endophytic,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Aeshna clepsydra,Aeshna_clepsydra,,,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Stylogomphus albistylus,Stylogomphus_albistylus,,,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Gomphus quadricolor,Gomphus_quadricolor,,,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Gomphus discriptus,Gomphus_discriptus,,,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Gomphus borealis,Gomphus_borealis,,,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Didymops transversa,Didymops_transversa,Yes,,,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Somatochlora minor,Somatochlora_minor,,Exophytic,,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Somatochlora walshii,Somatochlora_walshii,,Exophytic,,,,,,,,,Lotic,,,,"(Jones et al., 2013)",,,,
Somatochlora elongata,Somatochlora_elongata,,Exophytic,,,,,,,,,Lotic,,,,"(Jones et al., 2013)",,,,
Somatochlora tenebrosa,Somatochlora_tenebrosa,,Exophytic,,,,,,,,,Lotic,,,,"(Jones et al., 2013)",,,,
Somatochlora franklini,Somatochlora_franklini,,Exophytic,,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Somatochlora kennedyi,Somatochlora_kennedyi,,Exophytic,,,,,,,,,Lentic,,,,"(Jones et al., 2013)",,,,
Somatochlora incurvata,Somatochlora_incurvata,,Exophytic,,,,,,,,,Lentic,,,,"(Jones et al., 2013)",,,,
Somatochlora forcipata,Somatochlora_forcipata,,Exophytic,,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Somatochlora albicincta,Somatochlora_albicincta,,Exophytic,,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Somatochlora cingulata,Somatochlora_cingulata,,Exophytic,,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Neurocordulia yamaskensis,Neurocordulia_yamaskanensis,,Exophytic,,,,,,,,,Lotic,,,,"(Jones et al., 2013)",,,,
Neurocordulia michaeli,Neurocordulia_michaeli,,,,,,,,,,,Lotic,,,,"(Jones et al., 2013)",,,,
Pachydiplax longipennis,Pachydiplax_longipennis,,,Percher,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Pantala hymenaea,Pantala_hymenaea,,,Flier,,,,,,,,,,,,"(Jones et al., 2013)",,,,
Celithemis elisa,Celithemis_elisa,,Exophytic,Percher,,,Tandem,,,,,,,,,"(Jones et al., 2013)",,,,
Celithemis eponina,Celithemis_eponina,,Exophytic,,,,Tandem,,,,,,,,,"(Jones et al., 2013)",,,,
Sympetrum vicinum,Sympetrum_vicinum,,Exophytic,Percher,,,Tandem,,,,,Lentic,,,,"(Jones et al., 2013)",,,,
Calopteryx virgo,Calopteryx_virgo,Yes,,,Non-contact,,Alone,,,,,Lotic,Yes,,,"(Merritt et al., 1996)",,,,
Calopteryx splendens,Calopteryx_splendens,Yes,,,Non-contact,,Alone,,,,,Lotic,Yes,,,"(Merritt et al., 1996)",,,,
Lestes sponsa,Lestes_sponsa,Yes,Endophytic,,,,Tandem,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Lestes dryas,Lestes_dryas,Yes,Endophytic,,,,Tandem,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Platycnemis pennipes,Platycnemis_pennipes,No,,,Contact,,Tandem,,,,,Lotic,Yes,,,"(Merritt et al., 1996)",,,,
Pyrrhosoma nymphula,Pyrrhosoma_nymphula,Yes,Endophytic,,,,Tandem,,,,,,,,Strong,"(Merritt et al., 1996)",,,,
Erythromma najas,Erythromma_najas,,Endophytic,,,,Tandem,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Coenagrion mercuriale,Coenagrion_mercuriale,No,Endophytic,,,,Tandem,,,,,Lotic,,,,"(Merritt et al., 1996)",,,,
Coenagrion scitulum,Coenagrion_scitulum,No,Endophytic,,,,Tandem,,,,,,,,,"(Merritt et al., 1996)",,,,
Coenagrion hastulatum,Coenagrion_hastulatum,No,,,,,Tandem,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Coenagrion lunalatum,Coenagrion_lunalatum,No,Endophytic,,,,Tandem,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Coenagrion armatum,Coenagrion_armatum,,,,,,,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Coenagrion puella,Coenagrion_puella,No,Endophytic,,,,Tandem,,,,,,,,,"(Merritt et al., 1996)",,,,
Coenagrion pulchellum,Coenagrion_pulchellum,No,Endophytic,,,,Tandem,,,,,,,,,"(Merritt et al., 1996)",,,,
Enallagma cyathigerum,Enallagma_cyathigerum,,Endophytic,,,,Tandem,,,,,,,,,"(Merritt et al., 1996)",,,,
Ischnura pumilio,Ischnura_pumilio,,Endophytic,,,,Alone,,,,,,,,,"(Merritt et al., 1996)",,,,
Ischnura elegans,Ischnura_elegans,Yes,Endophytic,,,,Alone,,,,,Both,,,,"(Merritt et al., 1996)",,,,
Ceriagrion tenellum,Ceriagrion_tenellum,Yes,Endophytic,,,,Tandem,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Aeshna caerulea,Aeshna_caerulea,,,,,,,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Aeshna juncea,Aeshna_juncea,Yes,Endophytic,,,,Alone,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Aeshna mixta,Aeshna_mixta,,Endophytic,,,,,,,,,Lentic,,,Weak,"(Merritt et al., 1996)",,,,
Aeshna cyanea,Aeshna_cyanea,Yes,,,,,,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Aeshna grandis,Aeshna_grandis,Yes,Endophytic,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,
Aeshna isosceles,Aeshna_isosceles,Yes,Endophytic,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,
Anax imperator,Anax_imperator,Yes,Endophytic,,,,,,,,,Lentic,,,Strong,"(Merritt et al., 1996)",,,,
Brachytron pratense,Brachytron_pratense,Yes,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,
Gomphus vulgatissimus,Gomphus_vulgatissimus,,Exophytic,,,,Alone,,,,,Both,,,,"(Merritt et al., 1996)",,,,
Cordulegaster boltonii,Cordulegaster_boltonii,No,Exophytic,,No,,Alone,,,,,Lotic,,,,"(Merritt et al., 1996)",,,,
Cordulia aenea,Cordulia_aenea,,Exophytic,,No,,Alone,,,,,Both,,,,"(Merritt et al., 1996)",,,,
Somatochlora metallica,Somatochlora_metallica,,,,,,,,,,,Both,,,,"(Merritt et al., 1996)",,,,
Somatochlora arctica,Somatochlora_arctica,,Exophytic,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,
Oxygastra curtisii,Oxygastra_curtisii,Yes,Exophytic,,,,,,,,,Lotic,,,,"(Merritt et al., 1996)",,,,
Libellula quadrimaculata,Libellula_quadrimaculata,Yes,Exophytic,,Non-contact,,,,,,,Lentic,,,Strong,"(Merritt et al., 1996)",,,,
Libellula fulva,Libellula_fulva,Yes,Exophytic,,Non-contact,,,,,,,Lotic,,,,"(Merritt et al., 1996)",,,,
Libellula depressa,Libellula_depressa,Yes,Exophytic,Percher,,,,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Orthetrum cancellatum,Orthetrum_cancellatum,Yes,Exophytic,Percher,,,,,,,,Both,,,,"(Merritt et al., 1996)",,,,
Sympetrum striolatum,Sympetrum_striolatum,Yes,Exophytic,Percher,,,Tandem,,,,,,,,,"(Merritt et al., 1996)",,,,
Sympetrum danae,Sympetrum_danae,Yes,Exophytic,,,,,,,,,Lentic,,,Weak,"(Merritt et al., 1996)",,,,
Leucorrhinia dubia,Leucorrhinia_dubia,Yes,Exophytic,,,,Alone,,,,,,,,,"(Merritt et al., 1996)",,,,
Lestes barbarus,Lestes_barbarus,,Endophytic,,,,,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Sympecma fusca,Sympecma_fusca,,,,,,,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Crocothemis erythraea,Crocothemis_erythraea,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,
Sympetrum meridionale,Sympetrum_meridionale,,,,,,,,,,,,,,,"(Merritt et al., 1996)",,,,
Lestes viridis,Lestes_viridis,Yes,,,,,,,,,,Both,,,,"(Merritt et al., 1996)",,,,
Aeshna affinis,Aeshna_affinis,,,,,,,,,,,Lentic,,,,"(Merritt et al., 1996)",,,,
Gomphus flavipes,Gomphus_flavipes,,,,,,,,,,,Lotic,,,,"(Merritt et al., 1996)",,,,
Aeshna cyanea,Aeshna_cyanea,Yes,,,,,,,,,,,,,,"(Hammond, 1985)",,,,
Aeshna grandis,Aeshna_grandis,Yes,,,,,,,,,,,,,,"(Hammond, 1985)",,,,
Libellula depressa,Libellula_depressa,Yes,,Percher,,,,,,,,,,,Strong,"(Hammond, 1985)",,,,
Libellula fulva,Libellula_fulva,Yes,,,,,,,,,,,,,,"(Hammond, 1985)",,,,
Calopteryx splendens,Calopteryx_splendens,,,,,,,,,,,,Yes,,,"(Hammond, 1985)",,,,
Rhinocypha perforata,Rhinocypha_perforata,Yes,,,,,,,,,,,,,,"(Paulson, 2019)",,,,
Ophiogomphus edmundo,Ophiogomphus_edmundo,,Exophytic,,,,,,,,,Lotic,,,,"(Paulson, 2019)",,,,
Plathemis lydia,Plathemis_lydia,,,,Non-contact,,,,,,,,,,,"(Paulson, 2019)",,,,
Sympetrum illotum,Sympetrum_illotum,,,,Contact,,Tandem,,,,,,,,,"(Paulson, 2019)",,,,
Archilestes grandis,Archilestes_grandis,,Endophytic,Percher,,,,,,,,,,,,"(Paulson, 2019)",,,,
Neurobasis chinensis,Neurobasis_chinensis,Yes,,,,,,,,,,,,,,"(Paulson, 2019)",,,,
Dysphaea dimidiata,Dysphaea_Dimidiata,,,Percher,,,Alone,,,,,,,,,"(Paulson, 2019)",,,,
Onychogomphus uncatus,Onychogomphus_uncatus,No,,Percher,,,,,,,,,,,,"(Paulson, 2019)",,,,
Erythemis simplicicollis,Erythemis_simplicicollis,,,,,,,,,,,Lentic,,,,"(Paulson, 2019)",,,,
Palpopleura lucia,Palpopleura_lucia,,,,,,,,,,,,Yes,,,"(Paulson, 2019)",,,,
Palpopleura portia,Palpopleura_portia,,,,,,,,,,,,Yes,,,"(Paulson, 2019)",,,,
Uracis fastigiata,Uracis_fastigiata,Yes,,,,,,,"Pool, Puddle",Small,,,,,,"(Paulson, 2019)",,,,
Palaemnema domina,Palaemnema_domina,,,,Non-contact,,,,,,,,,,,"(Paulson, 2019)",,,,
Platycypha caligata,Platycypha_caligata,Yes,,Percher,,,Alone,,,,River,Lotic,Yes,,,"(Paulson, 2019)",,,,
Thaumatoneura inopinata,Thaumatoneura_inopinata,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,
Perithemis tenera,Perithemis_tenera,Yes,Exophytic,,Non-contact,,,,Pond,Medium,,Lentic,,,Strong,"(Paulson, 2019)",,,,
Chlorolestes fasciatus,Chlorolestes_fasciatus,Yes,,,,,,,,,,,,,Strong,"(Paulson, 2019)",,,,
Miocora semiopaca,Miocora_semiopaca,,,,,,,,,,,,,,,"(Paulson, 2019)",,,,
Nannophya pygamaea,Nannophya_pygmaea,Yes,,,,,,,,,,,,,,"(Paulson, 2019)",,,,
Tamea lacerata,Tramea_lacerata,Yes,,,,,,,,,,,,,,"(Paulson, 2019)",,,,
Sympetrum fonscolombii,Sympetrum_fonscolombii,,,,,,,,,,,,,,,Thornton and Switzer 2015,,,,
Pantala flavescens,Pantala_flavescens,,,,,,,,,,,Lentic,,,,Thornton and Switzer 2015,,,,
Anax amazili,Anax_amazili,,,,,,,,,,,Lentic,,,,"(Abbott, 2015)",,,,
Anax junius,Anax_junius,,,,,,Tandem,,,,,,,,,"(Abbott, 2015)",,,,
Anax walsinghami,Anax_walsinghami,Yes,,,,,Alone,,,,,,,,Strong,"(Abbott, 2015)",,,,
Coryphaeschna ingens,Coryphaeschna_ingens,No,,Flier,,,,,,,,Lentic,,,,"(Abbott, 2015)",,,,
Epiaeschna heros,Epiaeschna_heros,No,,,,,Alone,,,,,,,,,"(Abbott, 2015)",,,,
Gomphaeschna furcillata,Gomphaeschna_furcillata,Yes,,Percher,,,,,,,,,,,,"(Abbott, 2015)",,,,
Macromia annulata,Macromia_annulata,,,,,,Alone,,,,,Lotic,,,,"(Abbott, 2015)",,,,
Helocordulia selysii,Helocordulia_selysii,Yes,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Neurocordulia alabamensis,Neurocordulia_alabamensis,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Neurocordulia molesta,Neurocordulia_molesta,,Exophytic,,,,Alone,,,,,Lotic,,,,"(Abbott, 2015)",,,,
Neurocordulia xanthosoma,Neurocordulia_xanthosoma,,Exophytic,,No,,Alone,,,,,Lotic,,,,"(Abbott, 2015)",,,,
Brechmorhoga mendax,Brechmorhoga_mendax,Yes,Exophytic,,,,,,,,,Lotic,,,,"(Abbott, 2015)",,,,
Celithemis elisa,Celithemis_elisa,No,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Dythemis velox,Dythemis_velox,Yes,,Percher,,,,,,,,,,,,"(Abbott, 2015)",,,,
Drythemis maya,Drythemis_maya,Yes,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Erythemis attala,Erythemis_attala,Yes,,,,,,,,,,,,,Strong,"(Abbott, 2015)",,,,
Erythrodiplax fervida,Erythrodiplax_fervida,Yes,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Erythrodiplax basifusca,Erythrodiplax_basifusca,Yes,,Percher,,,,,,,,,,,Strong,"(Abbott, 2015)",,,,
Erythrodiplax fusca,Erythrodiplax_fusca,Yes,,,Non-contact,,Alone,,,,,,,,,"(Abbott, 2015)",,,,
Erythrodiplax minuscula,Erythrodiplax_minuscula,Yes,,,Non-contact,,,,,,,,,,,"(Abbott, 2015)",,,,
Libellula auripennis,Libellula_auripennis,Yes,Exophytic,,Non-contact,,,,,,,,,,,"(Abbott, 2015)",,,,
Libellula composita,Libellula_composita,,Exophytic,,Contact,,,,,,,,,,,"(Abbott, 2015)",,,,
Libellula flavida,Libellula_flavida,Yes,Exophytic,,Non-contact,,,,,,,,,,Weak,"(Abbott, 2015)",,,,
Libellula croceipennis,Libellula_croceipennis,Yes,,,,,,,,,,,Yes,,,"(Abbott, 2015)",,,,
Libellula luctuosa,Libellula_luctuosa,Yes,Exophytic,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Libellula pulchella,Libellula_pulchella,Yes,Exophytic,,No,,Alone,,,,,,,,,"(Abbott, 2015)",,,,
Libellula semifasciata,Libellula_semifasciata,Yes,Exophytic,,Non-contact,,,,,,,,,,,"(Abbott, 2015)",,,,
Miathyria marcella,Miathyria_marcella,Yes,,Flier,,,,,,,,,,,,"(Abbott, 2015)",,,,
Orthemis discolor,Orthemis_discolor,Yes,Exophytic,,Non-contact,,,,,,,,,,Strong,"(Abbott, 2015)",,,,
Orthemis ferruginea,Orthemis_ferruginea,Yes,,,,,,,,,,,,,Strong,"(Abbott, 2015)",,,,
Paltothemis lineatipes,Paltothemis_lineatipes,Yes,Exophytic,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Pantala flavescens,Pantala_flavescens,Yes,,Flier,,,,,,,,,,,,"(Abbott, 2015)",,,,
Pantala hymenaea,Pantala_hymenaea,Yes,Exophytic,Flier,,,,,,,,,,,,"(Abbott, 2015)",,,,
Perithemis domitia,Perithemis_domitia,Yes,,,,,,,,,,,,,Strong,"(Abbott, 2015)",,,,
Perithemis tenera,Perithemis_tenera,Yes,Exophytic,,,,,,,,,,Yes,,,"(Abbott, 2015)",,,,
Planiplax sanguiniventris,Planiplax_sanguiniventris,Yes,,Percher,,,,,,,,,,,,"(Abbott, 2015)",,,,
Pseudoleon superbus,Pseudoleon_superbus,Yes,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Sympetrum illotum,Sympetrum_illotum,,,Percher,Contact,,Tandem,,,,,,,,,"(Abbott, 2015)",,,,
Sympetrum ambiguum,Sympetrum_ambiguum,,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Sympetrum internum,Sympetrum_internum,Yes,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Sympetrum pallipes,Sympetrum_pallipes,Yes,,,Contact,,Tandem,,,,,,,,,"(Abbott, 2015)",,,,
Tauriphila azteca,Tauriphila_azteca,Yes,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Tramea carolina,Tramea_carolina,Yes,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Tramea onusta,Tramea_onusta,Yes,,,,,,,,,,,,,,"(Abbott, 2015)",,,,
Tachopteryx thoreyi,Tachopteryx_thoreyi,Yes,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Tanypteryx hageni,Tanypteryx_hageni,Yes,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Anax junius,Anax_junius,Yes,,,Contact,,Tandem,,,,,,,,,"(Dunkle, 2000)",,,,
Coryphaeschna ingens,Coryphaeschna_ingens,No,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Epiaeschna heros,Epiaeschna_heros,No,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Nasiaeschna pentacantha,Nasiaeschna_pentacantha,Yes,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna eremita,Aeshna_eremita,No,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Gomphus modestus,Gomphus_modestus,,,,,,,,,,,Lotic,,,,"(Dunkle, 2000)",,,,
Coryphaeschna viriditas,Coryphaeschna_viriditas,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Coryphaeschna adnexa,Coryphaeschna_adnexa,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Coryphaeschna luteipennis,Coryphaeschna_lutiepennis,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Triacanthagyna trifida,Triacanthagyna_trifida,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Gynacantha nervosa,Gynacantha_nervosa,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Gynacantha mexicana,Gynacantha_mexicana,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna umbrosa,Aeshna_umbrosa,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna palmata,Aeshna_palmata,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna walkeri,Aeshna_walkeri,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna multicolor,Aeshna_multicolor,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna dugesi,Aeshna_dugesi,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna californica,Aeshna_californica,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna interrupta,Aeshna_interrupta,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna tuberculifera,Aeshna_tuberculifera,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna juncea,Aeshna_juncea,Yes,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna subarctica,Aeshna_subarctica,Yes,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna canadensis,Aeshna_canadensis,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
Aeshna sitchensis,Aeshna_sitchensis,,,,,,,,,,,,,,,"(Dunkle, 2000)",,,,
