Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Mnais pruinosa,Mnais_pruinosa,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Ubukata, 1977)",,,
Nannophya pygmaea,Nannophya_pygmaea,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Yamamoto, 1968)",,,
Nannothemis bella,Nannothemis_bella,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Lee & McGinn, 1986)",,,
Nesciothemis nigeriensis,Nesciothemis_nigeriensis,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Parr & Parr, 1974)",,,
Nososticta kalumburu,Nososticta_kalumburu,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Thompson, 1990)",,,
Orthetrum caledonicum,Orthetrum_caledonicum,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Alcock, 1988)",,,
Orthetrum cancellatum,Orthetrum_cancellatum,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Krüner, 1977)",,,
Orthetrum chrysostigma,Orthetrum_chrysostigma,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Miller, 1983)",,,
Orthetrum coerulescens,Orthetrum_coerulescens,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Parr, 1983)",,,
Orthetrum japonicum,Orthetrum_japonicum,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Watanabe & Higashi, 1989)",,,
Orthetrum julia,Orthetrum_julia,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Parr, 1980)",,,
Orthetrum sabina,Orthetrum_sabina,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Mitra, 1994)",,,
Palpopleura sexmaculata,Palpopleura_sexmaculata,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(P. Miller, 1991)",,,
Pantala flavescens,Pantala_flavescens,Yes,,Flier,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Moore, 1993)",,,
Perithemis domitia,Perithemis_domitia,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(López & González-Soriano, 1980)",,,
Perithemis tenera,Perithemis_tenera,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Switzer & Eason, 2003)",,,
Plathemis lydia,Plathemis_lydia,Yes,,Percher,,,,,,,,Lotic,,,,"Aromaa et al., 2019","(Jacobs, 1955)",,,
Platycypha caligata,Platycypha_caligata,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Robertson, 1982)",,,
Prodasineura verticalis,Prodasineura_verticalis,Yes,,Percher,,,,,,,,Lentic,,,,"Aromaa et al., 2019","(Furtado, 1975)",,,
