Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition type (endophytic vs exophytic),Oviposition substrate,Oviposition,Number of oviposition sites,Lotic vs lentic (breeding habitat),Habitat breadth,Flier vs percher,Mate guarding,Agonistic display,Courtship,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Female has wing pigment,Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Gomphus lucasii,Gomphus_lucasii,Gomphus_lucasii,Anisoptera,Gomphidae,No,,,,,,NA,weak,NA,,,46.5,,NA,,,NA,36,NA,NA,,,,,,,,,,,,Percher,,,,stream,palearctic,NA,closed,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Gomphus schneiderii,Gomphus_schneiderii,Gomphus_schneiderii,Anisoptera,Gomphidae,Yes,,,,,,NA,weak,NA,,,44,,NA,,,NA,30,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,stream,palearctic,Csa,open,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Gomphurus septima,Gomphurus_septima,Gomphurus_septima,Anisoptera,Gomphidae,Yes,,,,,,males,weak,NA,,,57.5,,NA,,,NA,34,NA,NA,,,,,,,,,,,,Percher,,,,river,nearctic,Cfa,closed,spotted,pigment,blue,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Gomphus vulgatissimus,Gomphus_vulgatissimus,Gomphus_vulgatissimus,Anisoptera,Gomphidae,Yes,,,,,,NA,strong,NA,,,47.5,,NA,,,NA,30.5,NA,NA,,,,,,,,,,,,Percher,,,,stream,palearctic,NA,semi,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Heliocharis amazona,Heliocharis_amazona,Heliocharis_amazona,Zygoptera,Dicteriadidae,No,,,,,,monomorphic,weak,NA,,,51.5,,NA,,,NA,30,NA,NA,,,,,,,,,,,,Percher,,,,river,neotropical,Af,closed,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Garrison et al (2010),,,,,,,,,,,,
Hemistigma albipuncta,Hemistigma_albipuncta,Hemistigma_albipuncta,Anisoptera,Libellulidae,No,,,,,,NA,strong,NA,,,32.5,,NA,,,NA,26,NA,NA,,,,,,,,,,,,Percher,,,,wetland,afrotropical,NA,semi,plain,pigment,blue,,,yes,Stripes,10,0.1,forewing more pigment,weakly dimorphic,amber,basal,pigment,yes,10,0.05,middle,,,,"(Waller et al., 2019)",Dijkstra and Clausnitzer (2014),,,,,,,,,,,,
Hetaerina americana,Hetaerina_americana,Hetaerina_americana,Zygoptera,Calopterygidae,Yes,,,,,,females,strong,monomorphic,,,42,,NA,,,NA,28,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,river,nearctic,Af,closed,spotted,pigment,green,,,yes,Patch,25,0.23,symmetric pigment,weakly dimorphic,red,basal,pigment,smokey,25,0.23,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Hetaerina cruentata,Hetaerina_cruentata,Hetaerina_cruentata,Zygoptera,Calopterygidae,Yes,,,,,,monomorphic,strong,NA,,,48.5,,40,,,NA,24.75,NA,27.25,,,,,,,,,,,,Percher,Contact,,,river,neotropical,NA,closed,plain,pigment,black,,,yes,NA,10,0.07,hindwing more pigment,weakly dimorphic,red,basal,pigment,smokey,10,0.03,basal,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Hetaerina occisa,Hetaerina_occisa,Hetaerina_occisa,Zygoptera,Calopterygidae,Yes,,,,,,monomorphic,strong,NA,,,45.5,,38,,,29.25,28,NA,27.5,,,,,,,,,,,,Percher,Contact,,,stream,neotropical,NA,open,plain,pigment,black,,,yes,NA,25,0.14,symmetric pigment,weakly dimorphic,black,basal,pigment,smokey,10,0.08,basal,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Hetaerina rosea,Hetaerina_rosea,Hetaerina_rosea,Zygoptera,Calopterygidae,Yes,,,,,,NA,strong,NA,,,NA,,NA,,,25,27.25,NA,NA,,,,,,,,,,,,,,,,river,nearctic,NA,NA,plain,pigment,black,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2006),,,,,,,,,,,,
Hetaerina vulnerata,Hetaerina_vulnerata,Hetaerina_vulnerata,Zygoptera,Calopterygidae,Yes,,,,,,monomorphic,strong,NA,,,30,,NA,,,NA,41,NA,29.75,,,,,,,,,,,,Percher,Non-contact,,,river,nearctic,Aw,closed,plain,pruinescence,brown,,,yes,Patch,10,0.11,symmetric pigment,weakly dimorphic,red,basal,pigment,smokey,10,0.12,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Heteragrion aurantiacum,Heteragrion_aurantiacum,Heteragrion_aurantiacum,Zygoptera,Megapodagrionidae,Yes,,,,,,NA,strong,NA,,,NA,,NA,,,NA,24.5,NA,NA,,,,,,,,,,,,Percher,,,,river,nearctic,NA,NA,spotted,pigment,brown,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2008),,,,,,,,,,,,
Ictinogomphus ferox,Ictinogomphus_ferox,Ictinogomphus_ferox,Anisoptera,Gomphidae,Yes,,,,,,monomorphic,medium,NA,,,83.5,,NA,,,NA,41.5,NA,NA,,,,,,,,,,,,Percher,No,,,lake,afrotropical,NA,open,striped,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Clausnitzer (2014),,,,,,,,,,,,
Ictinogomphus pertinax,Ictinogomphus_pertinax,Ictinogomphus_pertinax,Anisoptera,Gomphidae,Yes,,,,,,monomorphic,medium,NA,,,75.5,,74,,,NA,40,NA,43.5,,,,,,,,,,,,Percher,,,,pond,indomalaya,Cfa,NA,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Sugimura et al (2001),,,,,,,,,,,,
Ictinogomphus rapax,Ictinogomphus_rapax,Ictinogomphus_rapax,Anisoptera,Gomphidae,Yes,,,,,,monomorphic,weak,NA,,,NA,,NA,,,NA,40,NA,43,,,,,,,,,,,,Flier,,,,lake,indomalaya,Aw,open,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Nair (2011),,,,,,,,,,,,
Idionyx claudia,Idionyx_claudia,Idionyx_claudia,Anisoptera,Corduliidae,Yes,,,,,,monomorphic,medium,NA,,,NA,,NA,,,NA,33,NA,NA,,,,,,,,,,,,Flier,,,,stream,indomalaya,NA,closed,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Tze-wai et al (2011),,,,,,,,,,,,
Ischnura aurora,Ischnura_aurora,Ischnura_aurora,Zygoptera,Coenagrionidae,Yes,,,,,,females,strong,NA,,,27,,26,,,NA,15,NA,13,,,,,,,,,,,,Flier,,,,pond,australasia,Aw,NA,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Marinov and Waqa-Sakiti (2013),,,,,,,,,,,,
Ischnura barberi,Ischnura_barberi,Ischnura_barberi,Zygoptera,Coenagrionidae,No,,,,,,females,strong,NA,,,31.5,,NA,,,NA,16.5,NA,NA,,,,,,,,,,,,Percher,No,,,ephemeral,nearctic,Aw,open,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Ischnura posita,Ischnura_posita,Ischnura_posita,Zygoptera,Coenagrionidae,No,,,,,,monomorphic,strong,NA,,,25,,NA,,,NA,13,NA,NA,,,,,,,,,,,,Percher,No,,,lake,nearctic,BSh,closed,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Ladona deplanata,Ladona_deplanata,Ladona_deplanata,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,36,,NA,,,NA,27.5,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,Cfa,closed,plain,pigment,black,,,yes,NA,10,0.08,hindwing more pigment,not dimorphic,brown,basal,pigment,yes,10,0.08,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Ladona exusta,Ladona_exusta,Ladona_exusta,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,NA,monomorphic,,,41.5,,NA,,,NA,32,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,Cfa,NA,plain,pigment,black,,,yes,NA,10,0.05,hindwing more pigment,not dimorphic,brown,basal,pigment,yes,10,0.05,basal,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Ladona julia,Ladona_julia,Ladona_julia,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,41.5,,NA,,,NA,31,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,BSk,closed,plain,pigment,black,,,yes,NA,10,0.06,hindwing more pigment,not dimorphic,black,basal,pigment,yes,10,0.06,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Fredyagrion capixabae,Fredyagrion_capixabae,Fredyagrion_capixabae,Zygoptera,Coenagrionidae,Yes,,,,,,NA,strong,NA,,,NA,,NA,,,NA,24,NA,NA,,,,,,,,,,,,,,,,NA,nearctic,NA,NA,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Kompier (2015),,,,,,,,,,,,
Nathaliagrion perlongum,Nathaliagrion_perlongum,Nathaliagrion_perlongum,Zygoptera,Coenagrionidae,Yes,,,,,,NA,weak,NA,,,NA,,NA,,,NA,26.5,NA,26.5,,,,,,,,,,,,,,,,NA,nearctic,NA,NA,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2008),,,,,,,,,,,,
Lestes alacer,Lestes_alacer,Lestes_alacer,Zygoptera,Lestidae,No,,,,,,NA,weak,NA,,,39.5,,NA,,,NA,22,NA,NA,,,,,,,,,,,,Percher,Contact,,,ephemeral,nearctic,Af,closed,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Lestes australis,Lestes_australis,Lestes_australis,Zygoptera,Lestidae,No,,,,,,NA,weak,NA,,,41,,NA,,,NA,21.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,ephemeral,nearctic,BSh,semi,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Lestes forficula,Lestes_forficula,Lestes_forficula,Zygoptera,Lestidae,No,,,,,,females,strong,monomorphic,,,39.5,,38.5,,,NA,20.5,NA,21.5,,,,,,,,,,,,Percher,Contact,,,ephemeral,nearctic,BSh,closed,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Lestes pallidus,Lestes_pallidus,Lestes_pallidus,Zygoptera,Lestidae,Yes,,,,,,males,weak,NA,,,40,,39,,,NA,23,NA,NA,,,,,,,,,,,,Percher,Contact,,,ephemeral,afrotropical,NA,semi,plain,pigment,blue,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Samways (2008),,,,,,,,,,,,
Lestes unguiculatus,Lestes_unguiculatus,Lestes_unguiculatus,Zygoptera,Lestidae,No,,,,,,males,strong,monomorphic,,,37.5,,NA,,,NA,20.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,ephemeral,nearctic,BSk,open,spotted,pigment,blue,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Abbott (2011),,,,,,,,,,,,
Lestinogomphus angustus,Lestinogomphus_angustus,Lestinogomphus_angustus,Anisoptera,Gomphidae,Yes,,,,,,NA,medium,NA,,,44,,NA,,,NA,NA,NA,NA,,,,,,,,,,,,Percher,No,,,river,afrotropical,NA,open,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Dijkstra and Clausnitzer (2014),,,,,,,,,,,,
Leucorrhinia albifrons,Leucorrhinia_albifrons,Leucorrhinia_albifrons,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,NA,,,36,,NA,,,NA,25.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,lake,palearctic,Cfb,closed,plain,pigment,blue,,,yes,NA,10,0.01,hindwing more pigment,strongly dimorphic,black,basal,pigment,yes,10,0.1,basal,,,,"(Waller et al., 2019)",Askew (1988),,,,,,,,,,,,
Leucorrhinia dubia,Leucorrhinia_dubia,Leucorrhinia_dubia,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,NA,,,33.5,,34.5,,,NA,26.5,NA,27,,,,,,,,,,,,Percher,Contact,,,lake,palearctic,Cfb,open,plain,pigment,black,,,yes,NA,10,0.03,hindwing more pigment,not dimorphic,black,basal,pigment,yes,10,0.03,basal,,,,"(Waller et al., 2019)",Askew (1988),,,,,,,,,,,,
Leucorrhinia frigida,Leucorrhinia_frigida,Leucorrhinia_frigida,Anisoptera,Libellulidae,Yes,,,,,,females,strong,monomorphic,,,30,,NA,,,NA,22.5,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,Dfa,open,plain,pigment,black,,,yes,NA,10,0.01,hindwing more pigment,weakly dimorphic,black,basal,pigment,yes,10,0.07,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Leucorrhinia hudsonica,Leucorrhinia_hudsonica,Leucorrhinia_hudsonica,Anisoptera,Libellulidae,Yes,,,,,,females,strong,monomorphic,,,29.5,,NA,,,NA,24,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,pond,nearctic,BSk,open,spotted,pigment,black,,,yes,NA,10,0.03,hindwing more pigment,not dimorphic,black,basal,pigment,yes,10,0.03,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Leucorrhinia intacta,Leucorrhinia_intacta,Leucorrhinia_intacta,Anisoptera,Libellulidae,Yes,,,,,,females,weak,monomorphic,,,31,,NA,,,NA,24,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,BSk,open,plain,pigment,black,,,yes,NA,25,0.01,hindwing more pigment,weakly dimorphic,black,basal,pigment,yes,50,0.34,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Leucorrhinia pectoralis,Leucorrhinia_pectoralis,Leucorrhinia_pectoralis,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,NA,,,35.5,,NA,,,NA,31.5,NA,NA,,,,,,,,,,,,Flier,Contact,,,lake,palearctic,Cfb,semi,plain,pigment,brown,,,yes,NA,10,0.02,hindwing more pigment,not dimorphic,black,basal,pigment,yes,10,0.03,basal,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Leucorrhinia proxima,Leucorrhinia_proxima,Leucorrhinia_proxima,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,males polymorphic,,,34.5,,NA,,,NA,25.5,NA,NA,,,,,,,,,,,,Percher,,,,lake,nearctic,Cfb,closed,spotted,pigment,black,,,yes,NA,10,0.02,hindwing more pigment,not dimorphic,black,basal,pigment,yes,10,0.02,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Leucorrhinia rubicunda,Leucorrhinia_rubicunda,Leucorrhinia_rubicunda,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,NA,,,34.5,,NA,,,NA,29,NA,NA,,,,,,,,,,,,Percher,Contact,,,lake,palearctic,Dfb,closed,plain,pigment,black,,,yes,NA,10,0.01,hindwing more pigment,not dimorphic,brown,basal,pigment,yes,10,0.01,basal,,,,"(Waller et al., 2019)",Askew (1988),,,,,,,,,,,,
Libellago aurantiaca,Libellago_aurantiaca,Libellago_aurantiaca,Zygoptera,Chlorocyphidae,Yes,,,,,,monomorphic,strong,NA,,,20,,NA,,,NA,16,NA,NA,,,,,,,,,,,,Flier,,,,stream,indomalaya,Af,NA,spotted,pigment,black,,,yes,NA,25,0.15,forewing more pigment,weakly dimorphic,black,tip,pigment,no,NA,NA,NA,,,,"(Waller et al., 2019)",Hamalainen and Pinratana (1999),,,,,,,,,,,,
Libellago hyalina,Libellago_hyalina,Libellago_hyalina,Zygoptera,Chlorocyphidae,Yes,,,,,,NA,strong,NA,,,21,,NA,,,NA,17,NA,NA,,,,,,,,,,,,Percher,,,,NA,indomalaya,Af,NA,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Bun et al (2010),,,,,,,,,,,,
Libellago stigmatizans,Libellago_stigmatizans,Libellago_stigmatizans,Zygoptera,Chlorocyphidae,Yes,,,,,,monomorphic,strong,NA,,,21,,NA,,,NA,17,NA,NA,,,,,,,,,,,,,,,,stream,indomalaya,Af,NA,spotted,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Hamalainen and Pinratana (1999),,,,,,,,,,,,
Libellula angelina,Libellula_angelina,Libellula_angelina,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,NA,,,42,,40.5,,,NA,32,NA,32,,,,,,,,,,,,,,,,NA,palearctic,Cfa,NA,plain,pigment,black,,,yes,NA,25,0.2,symmetric pigment,not dimorphic,brown,basal,pigment,yes,25,0.2,basal,,,,"(Waller et al., 2019)",Sugimura et al (2001),,,,,,,,,,,,
Libellula comanche,Libellula_comanche,Libellula_comanche,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,51,,NA,,,NA,34,NA,NA,,,,,,,,,,,,Percher,,,,pond,nearctic,BSh,open,plain,pigment,blue,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Libellula croceipennis,Libellula_croceipennis,Libellula_croceipennis,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,monomorphic,,,54,,NA,,,NA,41,NA,42,,,,,,,,,,,,Percher,Non-contact,,,ephemeral,nearctic,BSh,closed,plain,pigment,brown,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Heckman (2006),,,,,,,,,,,,
Libellula depressa,Libellula_depressa,Libellula_depressa,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,NA,,,43.5,,NA,,,NA,35,NA,NA,,,,,,,,,,,,Flier,Non-contact,,,lake,palearctic,Cfb,open,plain,pigment,blue,,,yes,NA,25,0.14,hindwing more pigment,not dimorphic,brown,basal,pigment,yes,10,0.1,basal,,,,"(Waller et al., 2019)",Askew (1988),,,,,,,,,,,,
Libellula flavida,Libellula_flavida,Libellula_flavida,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,49.5,,NA,,,NA,39,NA,NA,,,,,,,,,,,,Flier,Non-contact,,,pond,nearctic,Cfa,closed,plain,pruinescence,black,,,yes,NA,25,0.18,symmetric pigment,weakly dimorphic,amber,basal,pigment,yes,25,0.19,full,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Libellula forensis,Libellula_forensis,Libellula_forensis,Anisoptera,Libellulidae,Yes,,,,,,females,strong,NA,,,50,,NA,,,NA,39,NA,NA,,,,,,,,,,,,Flier,Non-contact,,,lake,nearctic,BSk,NA,plain,pigment,brown,,,yes,NA,75,0.55,symmetric pigment,weakly dimorphic,black,basal,pigment,yes,50,0.33,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Libellula fulva,Libellula_fulva,Libellula_fulva,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,NA,,,43.5,,NA,,,NA,35,NA,NA,,,,,,,,,,,,Percher,No,,,lake,palearctic,Cfb,semi,plain,pruinescence,black,,,yes,NA,10,0.05,hindwing more pigment,strongly dimorphic,brown,basal,pigment,yes,25,0.2,basal,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Libellula herculea,Libellula_herculea,Libellula_herculea,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,NA,,,51,,53.5,,,NA,43,NA,48,,,,,,,,,,,,Percher,Non-contact,,,ephemeral,nearctic,NA,closed,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Herrara (2006),,,,,,,,,,,,
Libellula incesta,Libellula_incesta,Libellula_incesta,Anisoptera,Libellulidae,Yes,,,,,,males,strong,monomorphic,,,51,,NA,,,NA,39,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,Cfa,closed,plain,pigment,black,,,yes,NA,10,0.01,symmetric pigment,weakly dimorphic,black,tip,pigment,yes,10,0.3,tip,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Libellula jesseana,Libellula_jesseana,Libellula_jesseana,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,females polymorphic,,,53.5,,NA,,,NA,39,NA,NA,,,,,,,,,,,,Percher,,,,lake,nearctic,Cfa,open,plain,pruinescence,blue,,,yes,NA,50,0.5,symmetric pigment,strongly dimorphic,orange,mixed,pigment,yes,10,0.1,tip,,,,"(Waller et al., 2019)",Paulson (2012),,,,,,,,,,,,
Libellula luctuosa,Libellula_luctuosa,Libellula_luctuosa,Anisoptera,Libellulidae,Yes,,,,,,females,strong,males polymorphic,,,46,,NA,,,NA,39,NA,NA,,,,,,,,,,,,Flier,Non-contact,,,lake,nearctic,BSh,closed,plain,pigment,brown,,,yes,NA,75,0.74,symmetric pigment,weakly dimorphic,black,basal,pigment,yes,50,0.36,basal,,,,"(Waller et al., 2019)",Biggs (2000),,,,,,,,,,,,
Libellula nodisticta,Libellula_nodisticta,Libellula_nodisticta,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,NA,,,49,,NA,,,NA,39.5,NA,NA,,,,,,,,,,,,Percher,Contact,,,pond,nearctic,BSk,open,plain,pigment,blue,,,yes,NA,25,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Libellula pontica,Libellula_pontica,Libellula_pontica,Anisoptera,Libellulidae,Yes,,,,,,NA,weak,NA,,,40.5,,NA,,,NA,30.5,NA,NA,,,,,,,,,,,,Percher,No,,,lake,palearctic,BSk,semi,plain,pigment,black,,,yes,NA,10,0.06,hindwing more pigment,not dimorphic,brown,basal,pigment,yes,10,0.06,basal,,,,"(Waller et al., 2019)",Dijkstra and Lewington (2006),,,,,,,,,,,,
Libellula pulchella,Libellula_pulchella,Libellula_pulchella,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,54.5,,NA,,,NA,44,NA,NA,,,,,,,,,,,,Flier,Non-contact,,,lake,nearctic,BSh,open,plain,pigment,brown,,,yes,NA,50,0.46,symmetric pigment,weakly dimorphic,black,basal,pigment,yes,25,0.25,basal,,,,"(Waller et al., 2019)",Biggs (2000),,,,,,,,,,,,
Libellula quadrimaculata,Libellula_quadrimaculata,Libellula_quadrimaculata,Anisoptera,Libellulidae,Yes,,,,,,NA,medium,NA,,,44,,43.5,,,NA,35.5,NA,35,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,BSk,closed,plain,pigment,black,,,yes,dots,25,0.13,hindwing more pigment,not dimorphic,black,basal,pigment,yes,25,0.13,basal,,,,"(Waller et al., 2019)",Biggs (2000),,,,,,,,,,,,
Libellula saturata,Libellula_saturata,Libellula_saturata,Anisoptera,Libellulidae,Yes,,,,,,females,strong,monomorphic,,,56.5,,NA,,,NA,43,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,lake,nearctic,BSh,NA,plain,pigment,orange,,,yes,NA,50,0.56,symmetric pigment,weakly dimorphic,orange,basal,pigment,yes,25,0.18,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Libellula semifasciata,Libellula_semifasciata,Libellula_semifasciata,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,weak,monomorphic,,,46.5,,NA,,,NA,34,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,pond,nearctic,Cfa,closed,plain,pigment,black,,,yes,dots,25,0.23,symmetric pigment,not dimorphic,brown,basal,pigment,yes,25,0.23,basal,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Libellula vibrans,Libellula_vibrans,Libellula_vibrans,Anisoptera,Libellulidae,Yes,,,,,,monomorphic,strong,monomorphic,,,59.5,,NA,,,NA,49.5,NA,NA,,,,,,,,,,,,Percher,Non-contact,,,pond,nearctic,Cfa,closed,plain,pruinescence,blue,,,yes,NA,10,0.01,symmetric pigment,weakly dimorphic,black,tip,T,yes,10,0.03,tip,,,,"(Waller et al., 2019)",Paulson (2009),,,,,,,,,,,,
Lyriothemis pachygastra,Lyriothemis_pachygastra,Lyriothemis_pachygastra,Anisoptera,Libellulidae,Yes,,,,,,NA,strong,NA,,,37.5,,35.5,,,NA,26,NA,27.5,,,,,,,,,,,,,,,,NA,palearctic,Cfa,NA,plain,pigment,black,,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"(Waller et al., 2019)",Sugimura et al (2001),,,,,,,,,,,,
